Metric,Linear Regression,Random Forest,XGBoost
R²,0.4947218148436806,0.738631776706885,0.7878589303352388
RMSE,7.199917600158155,5.178317139886913,4.66524685848254
MAE,5.091870815582655,2.961528083232686,2.8570237406985104
