,Air Temperature,Wet Bulb Temperature,Humidity,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Temperature Difference,Wind Speed Squared,Air Temperature (F),Comfort Index,Temp Ratio,air_temp_rolling_24h,wind_speed_rolling_7h
Air Temperature,1.0,0.6843332854406083,0.009145545751922304,-0.2383390585942373,-0.13697126038621538,-0.2514017845367928,0.21746155676395287,0.5499572398859792,-0.20916963667941849,1.0000000000000175,0.9999651908526336,0.04063975799086204,0.9774925396782735,-0.3146330606099418
Wet Bulb Temperature,0.6843332854406083,1.0,0.19297284322307362,-0.26069524102084396,0.10931780364286534,-0.14599243206635315,0.20977388700578517,-0.23264296320718741,-0.1936499326956705,0.6843332854405967,0.6858674143980368,0.02574275777862415,0.6559861378382881,-0.22751004754407755
Humidity,0.009145545751922304,0.19297284322307362,1.0,0.0009783986453700214,0.057536538599889615,-0.1930981637387128,-0.14674908745826656,-0.20883340417914195,0.025219448685531005,0.009145545751921183,0.017488563678419673,-0.06767114555428098,0.06649879181667372,-0.0330306104933932
Wind Speed,-0.2383390585942373,-0.26069524102084396,0.0009783986453700214,1.0,0.62903687042137,-0.075162589653939,0.05096086267308458,-0.01929424173707803,0.9623858839780386,-0.2383390585942436,-0.2383044105916461,-0.009129239383985572,-0.22889663783495728,0.6838621564048599
Maximum Wind Speed,-0.13697126038621538,0.10931780364286534,0.057536538599889615,0.62903687042137,1.0,-0.0638251440191457,0.015837021910274404,-0.30790448435227397,0.6896337408857632,-0.13697126038622495,-0.13647595330974452,-0.003785462389143022,-0.15910333967364307,0.5677507147074009
Barometric Pressure,-0.2514017845367928,-0.14599243206635315,-0.1930981637387128,-0.075162589653939,-0.0638251440191457,1.0,0.06450373201639645,-0.16809818400766333,-0.08439247553288942,-0.2514017845367865,-0.2529850664752786,-0.014554328286245165,-0.2624238230157104,-0.06584326431678715
Solar Radiation,0.21746155676395287,0.20977388700578517,-0.14674908745826656,0.05096086267308458,0.015837021910274404,0.06450373201639645,1.0,0.04977341545712656,0.03082353821867009,0.21746155676395312,0.21621291305745793,0.014322568987654608,0.13400821151979117,0.014517415056580477
Temperature Difference,0.5499572398859792,-0.23264296320718741,-0.20883340417914195,-0.01929424173707803,-0.30790448435227397,-0.16809818400766333,0.04977341545712656,1.0,-0.05718212313675033,0.5499572398859485,0.5481536156338361,0.08251184576771921,0.5524058186275673,-0.1590651975141463
Wind Speed Squared,-0.20916963667941849,-0.1936499326956705,0.025219448685531005,0.9623858839780386,0.6896337408857632,-0.08439247553288942,0.03082353821867009,-0.05718212313675033,1.0,-0.20916963667941435,-0.2089359618298289,-0.00980907685309821,-0.2025008692601705,0.6804158136123494
Air Temperature (F),1.0000000000000175,0.6843332854405967,0.009145545751921183,-0.2383390585942436,-0.13697126038622495,-0.2514017845367865,0.21746155676395312,0.5499572398859485,-0.20916963667941435,1.0,0.9999651908526719,0.04063975799086109,0.9774925396783096,-0.3146330606099508
Comfort Index,0.9999651908526336,0.6858674143980368,0.017488563678419673,-0.2383044105916461,-0.13647595330974452,-0.2529850664752786,0.21621291305745793,0.5481536156338361,-0.2089359618298289,0.9999651908526719,1.0,0.04006769256958836,0.9779387890029033,-0.3148737071606076
Temp Ratio,0.04063975799086204,0.02574275777862415,-0.06767114555428098,-0.009129239383985572,-0.003785462389143022,-0.014554328286245165,0.014322568987654608,0.08251184576771921,-0.00980907685309821,0.04063975799086109,0.04006769256958836,1.0,0.03520608539624296,-0.0037084556317184534
air_temp_rolling_24h,0.9774925396782735,0.6559861378382881,0.06649879181667372,-0.22889663783495728,-0.15910333967364307,-0.2624238230157104,0.13400821151979117,0.5524058186275673,-0.2025008692601705,0.9774925396783096,0.9779387890029033,0.03520608539624296,1.0,-0.31821811862334204
wind_speed_rolling_7h,-0.3146330606099418,-0.22751004754407755,-0.0330306104933932,0.6838621564048599,0.5677507147074009,-0.06584326431678715,0.014517415056580477,-0.1590651975141463,0.6804158136123494,-0.3146330606099508,-0.3148737071606076,-0.0037084556317184534,-0.31821811862334204,1.0
